GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FunctionPlotterLab,default,LiteralTokenFactory,0,13,0,0,0,3,0,2,0,2
FunctionPlotterLab,default,Multiplication,0,13,0,0,0,4,0,3,0,3
FunctionPlotterLab,default,PlotterFrame,69,0,0,0,15,0,1,0,1,0
FunctionPlotterLab,default,IdentifierTokenFactory,0,13,0,0,0,3,0,2,0,2
FunctionPlotterLab,default,RangePanel.new ActionListener() {...},20,0,0,0,3,0,2,0,2,0
FunctionPlotterLab,default,RangePanel.new RangeListener() {...},10,0,0,0,3,0,2,0,2,0
FunctionPlotterLab,default,Node,0,10,0,0,0,5,0,5,0,5
FunctionPlotterLab,default,ILOAD,0,34,0,0,0,9,0,3,0,3
FunctionPlotterLab,default,RangePanel.new ActionListener() {...},20,0,0,0,3,0,2,0,2,0
FunctionPlotterLab,default,Canvas.new FunctionListener() {...},10,0,0,0,3,0,2,0,2,0
FunctionPlotterLab,default,Token,0,28,0,0,0,9,0,5,0,5
FunctionPlotterLab,default,Canvas.new RangeListener() {...},10,0,0,0,3,0,2,0,2,0
FunctionPlotterLab,default,Cursor,0,48,0,2,0,16,0,7,0,6
FunctionPlotterLab,default,Instruction,0,6,0,0,0,3,0,3,0,3
FunctionPlotterLab,default,ISUB,0,18,0,0,0,5,0,3,0,3
FunctionPlotterLab,default,BinaryNode,2,55,0,4,1,11,1,7,1,5
FunctionPlotterLab,default,Literal,0,28,0,0,0,8,0,5,0,5
FunctionPlotterLab,default,IMUL,0,17,0,0,0,5,0,3,0,3
FunctionPlotterLab,default,ArithParser,2,195,1,27,1,48,1,18,0,5
FunctionPlotterLab,default,PlotCanvas,275,0,4,0,50,0,12,0,10,0
FunctionPlotterLab,default,OperandStack,0,34,0,0,0,7,0,3,0,3
FunctionPlotterLab,default,Compiler,0,12,0,0,0,4,0,2,0,2
FunctionPlotterLab,default,VariableTable,0,23,0,0,0,6,0,3,0,3
FunctionPlotterLab,default,RangePanel,116,0,0,0,23,0,3,0,3,0
FunctionPlotterLab,default,Addition,0,13,0,0,0,4,0,3,0,3
FunctionPlotterLab,default,Program,0,92,0,4,0,22,0,9,0,7
FunctionPlotterLab,default,INEG,0,15,0,0,0,5,0,3,0,3
FunctionPlotterLab,default,Canvas,28,0,0,0,8,0,2,0,2,0
FunctionPlotterLab,default,Plot,0,21,0,0,0,8,0,4,0,4
FunctionPlotterLab,default,IDIV,0,21,0,0,0,7,0,3,0,3
FunctionPlotterLab,default,BIPUSH,0,23,0,0,0,6,0,3,0,3
FunctionPlotterLab,default,Range,6,60,0,2,1,21,1,9,1,8
FunctionPlotterLab,default,Storage,0,15,0,0,0,6,0,3,0,3
FunctionPlotterLab,default,IADD,0,17,0,0,0,5,0,3,0,3
FunctionPlotterLab,default,RegExTokenFactory,0,49,0,4,0,11,0,8,0,6
FunctionPlotterLab,default,Variable,0,21,0,0,0,8,0,5,0,5
FunctionPlotterLab,default,Negation,0,37,0,0,0,9,0,5,0,5
FunctionPlotterLab,default,Main.new Runnable() {...},16,0,0,0,4,0,2,0,2,0
FunctionPlotterLab,default,PlotterFrame.new ActionListener() {...},22,0,0,0,4,0,2,0,2,0
FunctionPlotterLab,default,LexicalAnalyzer,0,188,0,12,0,28,0,12,0,6
FunctionPlotterLab,default,ShadeCanvas,120,0,6,0,24,0,9,0,6,0
FunctionPlotterLab,default,Function,0,83,0,2,0,24,0,8,0,7
FunctionPlotterLab,default,TokenType,3,122,0,0,1,14,1,2,1,2
FunctionPlotterLab,default,Division,0,13,0,0,0,4,0,3,0,3
FunctionPlotterLab,default,OperatorTokenFactory,0,17,0,0,0,4,0,2,0,2
FunctionPlotterLab,default,PlotCanvas.new CursorListener() {...},10,0,0,0,3,0,2,0,2,0
FunctionPlotterLab,default,PlotCanvas.new MouseAdapter() {...},16,0,0,0,3,0,2,0,2,0
FunctionPlotterLab,default,StringTokenFactory,0,36,0,0,0,11,0,6,0,6
FunctionPlotterLab,default,PlotCanvas.new MouseMotionAdapter() {...},16,0,0,0,3,0,2,0,2,0
FunctionPlotterLab,default,Type,0,24,0,0,0,2,0,1,0,1
FunctionPlotterLab,default,Subtraction,0,13,0,0,0,4,0,3,0,3
FunctionPlotterLab,default,TokenFactory,7,3,0,0,4,1,4,1,4,1
FunctionPlotterLab,default,Main,23,0,0,0,3,0,1,0,1,0
